S.No.,HSCode,Commodity,2021-2022,2022-2023,%Growth
82,83,MISCELLANEOUS ARTICLES OF BASE METAL.,29275.32,35286.71,20.53
83,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",672715.52,865342.03,28.63
84,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2058557.68,2938774.6,42.76
85,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",129.21,713.59,452.26
86,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",376909.49,577072.74,53.11
87,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",8412.92,13660.66,62.38
88,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",784841.7,471264.53,-39.95
89,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",89679.57,99443.6,10.89
90,91,CLOCKS AND WATCHES AND PARTS THEREOF.,6307.21,6432.68,1.99
91,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,1245.58,4946.16,297.1
92,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,157.19,4561.1,2801.61
93,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",45770.21,56358.01,23.13
94,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",9195.32,9499.77,3.31
95,96,MISCELLANEOUS MANUFACTURED ARTICLES.,23800.86,29409.06,23.56
96,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,9762.09,9144.34,-6.33
97,98,PROJECT GOODS; SOME SPECIAL USES.,442.55,1193.67,169.73
98,99,MISCELLANEOUS GOODS.,22.49,7.48,-66.74

