S.No.,Country,2021-2022,%Share,2022-2023,%Share,%Growth
125,MALAYSIA,5212357.37,1.6563,5726516.72,1.5812,9.86
126,MALDIVES,498288.92,0.1583,383517.44,0.1059,-23.03
127,MALI,154597.96,0.0491,106629.18,0.0294,-31.03
128,MALTA,356891.57,0.1134,248131.56,0.0685,-30.47
129,MARSHALL ISLAND,777.38,0.0002,384.19,0.0001,-50.58
130,MARTINIQUE,4660.34,0.0015,4132.49,0.0011,-11.33
131,MAURITANIA,72256.86,0.023,118109.48,0.0326,63.46
132,MAURITIUS,532593.01,0.1692,372008.85,0.1027,-30.15
133,MAYOTTE,2592.16,0.0008,4511.34,0.0012,74.04
134,MEXICO,3298130.37,1.048,4169331.93,1.1513,26.42
135,MICRONESIA,458.34,0.0001,474.84,0.0001,3.6
136,MOLDOVA,6738.17,0.0021,9647.02,0.0027,43.17
137,MONACO,2667.05,0.0008,2217.94,0.0006,-16.84
138,MONGOLIA,19358.09,0.0062,27322.3,0.0075,41.14
139,MONTENEGRO,16211.7,0.0052,22906.11,0.0063,41.29
140,MONTSERRAT,61.74,0,118.64,0,92.17
141,MOROCCO,719770.06,0.2287,842705.3,0.2327,17.08
142,MOZAMBIQUE,1473225.51,0.4681,2012367.7,0.5557,36.6
143,MYANMAR,666478.49,0.2118,650322.91,0.1796,-2.42
144,N. MARIANA IS.,280.25,0.0001,141.76,0,-49.42
145,NAMIBIA,154814.38,0.0492,191259.44,0.0528,23.54
146,NAURU RP,230.83,0.0001,245.55,0.0001,6.38
147,NEPAL,7193921.63,2.2859,6477320.15,1.7885,-9.96
148,NETHERLAND,9372473.48,2.9782,17440918.3,4.8159,86.09
149,NETHERLANDANTIL,22135.88,0.007,24920.72,0.0069,12.58
150,NEW CALEDONIA,14071.88,0.0045,14801.16,0.0041,5.18
151,NEW ZEALAND,363373.53,0.1155,438263.8,0.121,20.61
152,NICARAGUA,80065.54,0.0254,87097.89,0.024,8.78
153,NIGER,68262.79,0.0217,67549.78,0.0187,-1.04
154,NIGERIA,3474512.68,1.1041,4137399.82,1.1424,19.08
155,NIUE IS,,,0.2,0,
156,NORFOLK IS,133.3,0,15.73,0,-88.2
157,NORWAY,283015.52,0.0899,456533.17,0.1261,61.31
158,OMAN,2357249.74,0.749,3589458.29,0.9911,52.27
159,PACIFIC IS,,,224.75,0.0001,
160,PAKISTAN IR,383118.68,0.1217,501974.47,0.1386,31.02
161,PALAU,78.73,0,180.74,0,129.58
162,PANAMA REPUBLIC,258960.38,0.0823,252442.61,0.0697,-2.52
163,PAPUA N GNA,52118.61,0.0166,68953.6,0.019,32.3
164,PARAGUAY,157245.22,0.05,125830.27,0.0347,-19.98
165,PERU,669218.08,0.2127,695597.25,0.1921,3.94
166,PHILIPPINES,1571064.04,0.4992,1680070.34,0.4639,6.94
167,PITCAIRN IS.,,,0.37,0,
168,POLAND,2030564.01,0.6452,1862284.79,0.5142,-8.29
169,PORTUGAL,887461.1,0.282,808833.8,0.2233,-8.86
170,PUERTO RICO,207757.85,0.066,213852.94,0.0591,2.93
171,QATAR,1370325.53,0.4354,1580100.45,0.4363,15.31
172,REUNION,43731.4,0.0139,38017.22,0.0105,-13.07
173,ROMANIA,441558.39,0.1403,597024.09,0.1649,35.21
174,RUSSIA,2423279.92,0.77,2546269.65,0.7031,5.08
175,RWANDA,95365.32,0.0303,115459.6,0.0319,21.07
176,SAHARWI A.DM RP,10.73,0,23.66,0,120.58
177,SAMOA,1044.35,0.0003,981.28,0.0003,-6.04
178,SAN MARINO,213.59,0.0001,372.59,0.0001,74.44
179,SAO TOME,1544.84,0.0005,1217.87,0.0003,-21.17
180,SAUDI ARAB,6531013.73,2.0753,8627137.38,2.3822,32.09
181,SENEGAL,710869.69,0.2259,911452.81,0.2517,28.22
182,SERBIA,67002.65,0.0213,66415.23,0.0183,-0.88
183,SEYCHELLES,33524.71,0.0107,52144.85,0.0144,55.54
184,SIERRA LEONE,133151.65,0.0423,191421.25,0.0529,43.76
185,SINGAPORE,8301294.51,2.6378,9618496.34,2.6559,15.87
186,SINT MAARTEN (DUTCH PART),69.39,0,8.96,0,-87.08
187,SLOVAK REP,127543.53,0.0405,152851.52,0.0422,19.84
188,SLOVENIA,368868.89,0.1172,491400.52,0.1357,33.22
189,SOLOMON IS,1379.83,0.0004,2158.18,0.0006,56.41
190,SOMALIA,555705.3,0.1766,761248.09,0.2102,36.99
191,SOUTH AFRICA,4535311.16,1.4411,6787323.04,1.8741,49.66
192,SOUTH SUDAN,20054,0.0064,26150.1,0.0072,30.4
193,SPAIN,3524400.15,1.1199,3741006.85,1.033,6.15
194,SRI LANKA DSR,4333369.93,1.377,4092266.91,1.13,-5.56
195,ST HELENA,,,41.86,0,
196,ST KITT N A,1943.43,0.0006,2118.7,0.0006,9.02
197,ST LUCIA,3035.6,0.001,4132.72,0.0011,36.14
198,ST VINCENT,630.35,0.0002,954.51,0.0003,51.43
199,STATE OF PALEST,1478.41,0.0005,2151.12,0.0006,45.5
200,SUDAN,802774.62,0.2551,1469247.73,0.4057,83.02
201,SURINAME,12955.51,0.0041,9866.33,0.0027,-23.84
202,SWAZILAND,20021.34,0.0064,11884.64,0.0033,-40.64
203,SWEDEN,772488.35,0.2455,772058.5,0.2132,-0.06
204,SWITZERLAND,1005377.83,0.3195,1081303.68,0.2986,7.55
205,SYRIA,78549.93,0.025,83554.02,0.0231,6.37
206,TAIWAN,2055115.69,0.653,2110663.58,0.5828,2.7
207,TAJIKISTAN,26405.02,0.0084,39609.5,0.0109,50.01
208,TANZANIA REP,1722386.07,0.5473,3157853.8,0.872,83.34
209,THAILAND,4289767.75,1.3631,4581006.57,1.2649,6.79
210,TIMOR LESTE,19425.3,0.0062,28570.03,0.0079,47.08
211,TOGO,2248060.7,0.7143,4851038.81,1.3395,115.79
212,TONGA,990.34,0.0003,1164.51,0.0003,17.59
213,TRINIDAD,69585.57,0.0221,84134.65,0.0232,20.91
214,TUNISIA,303415.3,0.0964,339533.63,0.0938,11.9
215,TURKEY,6503732.44,2.0666,7726043.46,2.1334,18.79
216,TURKMENISTAN,77568.17,0.0246,71970.34,0.0199,-7.22
217,TURKS C IS,480.18,0.0002,1417.05,0.0004,195.1
218,TUVALU,162.18,0.0001,201.18,0.0001,24.05
219,U ARAB EMTS,20915828.49,6.6462,25385238.28,7.0095,21.37
220,U K,7799211.31,2.4783,9171501.11,2.5325,17.6
221,U S A,56796119.26,18.0476,63015151.31,17.4001,10.95
222,UGANDA,519916.83,0.1652,449546.75,0.1241,-13.53
223,UKRAINE,351750.6,0.1118,106502.35,0.0294,-69.72
224,UNSPECIFIED,970701.37,0.3085,2448253.58,0.676,152.21
225,URUGUAY,112322,0.0357,124483.49,0.0344,10.83
